Assessment,Question Text,Trait/Category
Core Personality,Is talkative,Extraversion
Core Personality,Tends to find fault with others,Agreeableness
Core Personality,Does a thorough job,Conscientiousness
Core Personality,"Is depressed, blue",Neuroticism
Core Personality,"Is original, comes up with new ideas",Openness
Core Personality,Is reserved,Extraversion
Core Personality,Is helpful and unselfish with others,Agreeableness
Core Personality,Can be somewhat careless,Conscientiousness
Core Personality,"Is relaxed, handles stress well",Neuroticism
Core Personality,Is curious about many different things,Openness
Core Personality,Is full of energy,Extraversion
Core Personality,Starts quarrels with others,Agreeableness
Core Personality,Is a reliable worker,Conscientiousness
Core Personality,Can be tense,Neuroticism
Core Personality,"Is ingenious, a deep thinker",Openness
Core Personality,Generates a lot of enthusiasm,Extraversion
Core Personality,Has a forgiving nature,Agreeableness
Core Personality,Tends to be disorganized,Conscientiousness
Core Personality,Worries a lot,Neuroticism
Core Personality,Has an active imagination,Openness
Core Personality,Tends to be quiet,Extraversion
Core Personality,Is generally trusting,Agreeableness
Core Personality,Tends to be lazy,Conscientiousness
Core Personality,"Is emotionally stable, not easily upset",Neuroticism
Core Personality,Is inventive,Openness
Core Personality,Has an assertive personality,Extraversion
Core Personality,Can be cold and aloof,Agreeableness
Core Personality,Perseveres until the task is finished,Conscientiousness
Core Personality,Can be moody,Neuroticism
Core Personality,"Values artistic, aesthetic experiences",Openness
Core Personality,"Is sometimes shy, inhibited",Extraversion
Core Personality,Is considerate and kind to almost everyone,Agreeableness
Core Personality,Does things efficiently,Conscientiousness
Core Personality,Remains calm in tense situations,Neuroticism
Core Personality,Prefers work that is routine,Openness
Core Personality,"Is outgoing, sociable",Extraversion
Core Personality,Is sometimes rude to others,Agreeableness
Core Personality,Makes plans and follows through with them,Conscientiousness
Core Personality,Gets nervous easily,Neuroticism
Core Personality,"Likes to reflect, play with ideas",Openness
Core Personality,Has few artistic interests,Openness
Core Personality,Likes to cooperate with others,Agreeableness
Core Personality,Is easily distracted,Conscientiousness
Core Personality,"Is sophisticated in art, music, or literature",Openness
Love Languages,I like to receive notes of affirmation.,A
Love Languages,I like to be hugged.,P
Love Languages,I like to spend one-on-one time with a person who is special to me.,T
Love Languages,I feel loved when someone gives practical help to me.,S
Love Languages,I like it when people give me gifts.,G
Love Languages,I like leisurely visits with friends and loved ones.,T
Love Languages,I feel loved when people do things to help me.,S
Love Languages,I feel loved when people touch me.,P
Love Languages,I feel loved when someone I love or admire puts their arm around me.,G
Love Languages,I feel loved when I receive a gift from someone I love or admire.,A
Love Languages,I like to go places with friends and loved ones.,T
Love Languages,I like to high-five or hold hands with people who are special to me.,P
Love Languages,Visible symbols of love (gifts) are very important to me.,G
